antecedents,consequents,antecedent_support,consequent_support,support,confidence,lift,leverage,conviction,itemset_len
WOODEN STAR CHRISTMAS SCANDINAVIAN,WOODEN HEART CHRISTMAS SCANDINAVIAN,0.027692978630614914,0.029001308329699084,0.021805494984736152,0.7874015748031495,27.150553549227396,0.02100236237290192,4.567290142301044,2
WOODEN HEART CHRISTMAS SCANDINAVIAN,WOODEN STAR CHRISTMAS SCANDINAVIAN,0.029001308329699084,0.027692978630614914,0.021805494984736152,0.7518796992481203,27.150553549227396,0.02100236237290192,3.9186919346099454,2
SET/6 RED SPOTTY PAPER CUPS,SET/6 RED SPOTTY PAPER PLATES,0.026166593981683386,0.030963802878325338,0.02136938508504143,0.8166666666666667,26.37488262910798,0.020559167826995413,5.285651984300043,2
SET/6 RED SPOTTY PAPER PLATES,SET/6 RED SPOTTY PAPER CUPS,0.030963802878325338,0.026166593981683386,0.02136938508504143,0.6901408450704225,26.37488262910798,0.020559167826995413,3.1428259921500215,2
PINK REGENCY TEACUP AND SAUCER,"GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",0.041866550370693416,0.042302660270388134,0.03009158307893589,0.71875,16.990657216494846,0.028320516621911356,3.405146096816398,3
"GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",PINK REGENCY TEACUP AND SAUCER,0.042302660270388134,0.041866550370693416,0.03009158307893589,0.711340206185567,16.990657216494846,0.028320516621911356,3.319248021930098,3
"PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",GREEN REGENCY TEACUP AND SAUCER,0.03270824247710423,0.056694286960314,0.03009158307893589,0.9199999999999999,16.227384615384615,0.02823721259397141,11.791321412996064,3
"CHARLOTTE BAG SUKI DESIGN, RED RETROSPOT CHARLOTTE BAG",STRAWBERRY CHARLOTTE BAG,0.02965547317924117,0.04208460532054078,0.02006105538595726,0.676470588235294,16.074062785736054,0.018813016501615012,2.9608294017365098,3
"RED RETROSPOT CHARLOTTE BAG, WOODLAND CHARLOTTE BAG",CHARLOTTE BAG PINK POLKADOT,0.030745747928477975,0.04382904491931967,0.02136938508504143,0.6950354609929078,15.857873751808334,0.02002182831800609,3.135351271311068,3
"CHARLOTTE BAG SUKI DESIGN, RED RETROSPOT CHARLOTTE BAG",CHARLOTTE BAG PINK POLKADOT,0.02965547317924117,0.04382904491931967,0.020279110335804623,0.6838235294117647,15.60206321334504,0.01897933926972798,3.02416860211564,3
GARDENERS KNEELING PAD CUP OF TEA,GARDENERS KNEELING PAD KEEP CALM,0.04012211077191452,0.04884430876580898,0.030527692978630616,0.7608695652173914,15.577445652173914,0.028567956211751233,3.9775601633429813,2
GARDENERS KNEELING PAD KEEP CALM,GARDENERS KNEELING PAD CUP OF TEA,0.04884430876580898,0.04012211077191452,0.030527692978630616,0.625,15.577445652173914,0.028567956211751233,2.5596743712748946,2
"RED RETROSPOT CHARLOTTE BAG, WOODLAND CHARLOTTE BAG",STRAWBERRY CHARLOTTE BAG,0.030745747928477975,0.04208460532054078,0.02006105538595726,0.652482269503546,15.504060559291513,0.01876713271910243,2.756450421424566,3
"RED RETROSPOT CHARLOTTE BAG, STRAWBERRY CHARLOTTE BAG",CHARLOTTE BAG PINK POLKADOT,0.02987352812908853,0.04382904491931967,0.02006105538595726,0.6715328467153284,15.321639975305951,0.01875172717968888,2.9110093521345153,3
PINK REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.041866550370693416,0.056694286960314,0.03597906672481466,0.8593750000000001,15.158052884615387,0.033605472504060124,6.707951737171106,2
GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,0.056694286960314,0.041866550370693416,0.03597906672481466,0.6346153846153847,15.158052884615387,0.033605472504060124,2.622259967406524,2
"REGENCY CAKESTAND 3 TIER, ROSES REGENCY TEACUP AND SAUCER",GREEN REGENCY TEACUP AND SAUCER,0.027256868730920192,0.056694286960314,0.022459659834278237,0.824,14.534092307692307,0.020914351096807837,5.359691551361851,3
"CHARLOTTE BAG PINK POLKADOT, RED RETROSPOT CHARLOTTE BAG",STRAWBERRY CHARLOTTE BAG,0.03336240732664632,0.04208460532054078,0.02006105538595726,0.6013071895424836,14.28805580954316,0.01865701164107223,2.4026402522288075,3
"RED RETROSPOT CHARLOTTE BAG, STRAWBERRY CHARLOTTE BAG",CHARLOTTE BAG SUKI DESIGN,0.02987352812908853,0.04753597906672481,0.02006105538595726,0.6715328467153284,14.12683318824081,0.018640987978163694,2.8997237970635266,3
"CHARLOTTE BAG PINK POLKADOT, STRAWBERRY CHARLOTTE BAG",RED RETROSPOT CHARLOTTE BAG,0.022241604884430877,0.06389010030527693,0.02006105538595726,0.9019607843137254,14.117379374958173,0.018640037018940635,9.548320976886165,3
"RED RETROSPOT CHARLOTTE BAG, STRAWBERRY CHARLOTTE BAG",WOODLAND CHARLOTTE BAG,0.02987352812908853,0.04797208896641954,0.02006105538595726,0.6715328467153284,13.998407431984074,0.01862795983680779,2.898396084702233,3
"GREEN REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER",ROSES REGENCY TEACUP AND SAUCER,0.03597906672481466,0.059965111208024426,0.03009158307893589,0.8363636363636362,13.947504132231401,0.02793409434162145,5.744657653728734,3
"CHARLOTTE BAG PINK POLKADOT, WOODLAND CHARLOTTE BAG",RED RETROSPOT CHARLOTTE BAG,0.02420409943305713,0.06389010030527693,0.02136938508504143,0.8828828828828829,13.81877440580512,0.019822982744464514,7.99293837431648,3
"STRAWBERRY CHARLOTTE BAG, WOODLAND CHARLOTTE BAG",RED RETROSPOT CHARLOTTE BAG,0.02311382468382032,0.06389010030527693,0.02006105538595726,0.8679245283018868,13.584648077789941,0.018584310808469395,7.087689240545761,3
"CHARLOTTE BAG PINK POLKADOT, RED RETROSPOT CHARLOTTE BAG",WOODLAND CHARLOTTE BAG,0.03336240732664632,0.04797208896641954,0.02136938508504143,0.6405228758169934,13.351990493166962,0.019768920712633625,2.648368552511596,3
"CHARLOTTE BAG PINK POLKADOT, CHARLOTTE BAG SUKI DESIGN",RED RETROSPOT CHARLOTTE BAG,0.02398604448320977,0.06389010030527693,0.020279110335804623,0.8454545454545455,13.23295066708036,0.018746639547845518,6.057181703907031,3
PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,0.041866550370693416,0.059965111208024426,0.03270824247710423,0.78125,13.02840909090909,0.030197710128229242,4.297302348763317,2
"CHARLOTTE BAG PINK POLKADOT, RED RETROSPOT CHARLOTTE BAG",CHARLOTTE BAG SUKI DESIGN,0.03336240732664632,0.04753597906672481,0.020279110335804623,0.6078431372549019,12.787012052527432,0.018693195639509618,2.4287832533798515,3
"CHARLOTTE BAG SUKI DESIGN, STRAWBERRY CHARLOTTE BAG",RED RETROSPOT CHARLOTTE BAG,0.024640209332751854,0.06389010030527693,0.02006105538595726,0.8141592920353982,12.743121205714456,0.018486789940144722,5.037162793595413,3
"GREEN REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",ROSES REGENCY TEACUP AND SAUCER,0.029437418229393806,0.059965111208024426,0.022459659834278237,0.762962962962963,12.72344781144781,0.02069444177647551,3.965772187091147,3
SET/6 RED SPOTTY PAPER PLATES,SET/20 RED RETROSPOT PAPER NAPKINS,0.030963802878325338,0.0538595726122983,0.021151330135194067,0.6830985915492958,12.682956035810001,0.019483632945716013,2.9855986819789693,2
GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,0.056694286960314,0.059965111208024426,0.042302660270388134,0.7461538461538461,12.443132867132865,0.038902981047953256,3.703167743725963,2
ROSES REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.059965111208024426,0.056694286960314,0.042302660270388134,0.7054545454545453,12.443132867132865,0.038902981047953256,3.2025811245174514,2
DOLLY GIRL LUNCH BOX,SPACEBOY LUNCH BOX,0.04600959441779329,0.05015263846489315,0.028565198430004362,0.6208530805687204,12.379270554296312,0.02625769587525241,2.505222416048844,2
JUMBO BAG PEARS,JUMBO BAG APPLES,0.03532490187527257,0.05538595726122983,0.02420409943305713,0.6851851851851852,12.371099445902596,0.022247595927536147,3.000538723993741,2
CHARLOTTE BAG PINK POLKADOT,RED RETROSPOT CHARLOTTE BAG,0.04382904491931967,0.06389010030527693,0.03336240732664632,0.7611940298507464,11.914115429677551,0.030562165250466497,3.919960204971654,2
ALARM CLOCK BAKELIKE IVORY,ALARM CLOCK BAKELIKE RED,0.03205407762756215,0.05756650675970344,0.021587440034888793,0.673469387755102,11.698979591836736,0.019742198758465678,2.8862025730484078,2
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED,0.05407762756214566,0.05756650675970344,0.03554295682511993,0.6572580645161291,11.417369257087001,0.03242989671251495,2.7496883096893368,2
ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE GREEN,0.05756650675970344,0.05407762756214566,0.03554295682511993,0.6174242424242424,11.417369257087,0.03242989671251495,2.4725099635999364,2
STRAWBERRY CHARLOTTE BAG,RED RETROSPOT CHARLOTTE BAG,0.04208460532054078,0.06389010030527693,0.02987352812908853,0.7098445595854922,11.110399830235723,0.02718473847385119,3.2262359043050273,2
"JUMBO BAG PINK POLKADOT, JUMBO SHOPPER VINTAGE RED PAISLEY",JUMBO STORAGE BAG SUKI,0.030527692978630616,0.0651984300043611,0.021151330135194067,0.6928571428571427,10.626899187768752,0.019160972481332195,3.043539995334637,3
PAPER CHAIN KIT VINTAGE CHRISTMAS,PAPER CHAIN KIT 50'S CHRISTMAS,0.04470126471870912,0.061709550806803314,0.028129088530309636,0.6292682926829267,10.197259329483753,0.025370593564022093,2.5309150274290166,2
WOODLAND CHARLOTTE BAG,RED RETROSPOT CHARLOTTE BAG,0.04797208896641954,0.06389010030527693,0.030745747928477975,0.6409090909090909,10.031430344399627,0.02768080635255976,2.6068883282637856,2
CHARLOTTE BAG APPLES DESIGN,RED RETROSPOT CHARLOTTE BAG,0.03336240732664632,0.06389010030527693,0.02136938508504143,0.6405228758169934,10.025385353231165,0.01923785753451649,2.6040875391507745,2
CHARLOTTE BAG SUKI DESIGN,RED RETROSPOT CHARLOTTE BAG,0.04753597906672481,0.06389010030527693,0.02965547317924117,0.6238532110091743,9.764473807809123,0.026618394708558576,2.488682416261581,2
"JUMBO BAG PINK POLKADOT, JUMBO STORAGE BAG SUKI",JUMBO SHOPPER VINTAGE RED PAISLEY,0.03292629742695159,0.06759703445268207,0.021151330135194067,0.6423841059602649,9.50314035462508,0.018925610073625164,2.607274959215648,3
"JUMBO BAG RED RETROSPOT, JUMBO SHOPPER VINTAGE RED PAISLEY",JUMBO STORAGE BAG SUKI,0.039031836022677714,0.0651984300043611,0.023767989533362406,0.6089385474860335,9.33977317314699,0.02122317510449615,2.3904211575602763,3
"JUMBO BAG RED RETROSPOT, JUMBO BAG WOODLAND ANIMALS",JUMBO BAG PINK POLKADOT,0.030527692978630616,0.07566506759703445,0.020715220235499345,0.6785714285714285,8.96809386578839,0.018405340282689746,2.875708678587003,3
"JUMBO  BAG BAROQUE BLACK WHITE, JUMBO BAG RED RETROSPOT",JUMBO BAG PINK POLKADOT,0.0311818578281727,0.07566506759703445,0.020933275185346708,0.6713286713286714,8.872372584188147,0.018573897804976904,2.8123381985877463,3
"JUMBO SHOPPER VINTAGE RED PAISLEY, JUMBO STORAGE BAG SUKI",JUMBO BAG PINK POLKADOT,0.03161796772786742,0.07566506759703445,0.021151330135194067,0.6689655172413792,8.841140812878862,0.018758954469784126,2.7922617749672907,3
JUMBO BAG TOYS,JUMBO BAG PINK POLKADOT,0.030963802878325338,0.07566506759703445,0.020497165285651986,0.6619718309859155,8.748711287900313,0.01815428704780225,2.7344908416921063,2
"JUMBO BAG RED RETROSPOT, JUMBO STORAGE BAG SUKI",JUMBO BAG PINK POLKADOT,0.04143044047099869,0.07566506759703445,0.02529437418229394,0.6105263157894737,8.068800242681633,0.02215953710348091,2.3732923940076143,3
"JUMBO BAG RED RETROSPOT, JUMBO SHOPPER VINTAGE RED PAISLEY",JUMBO BAG PINK POLKADOT,0.039031836022677714,0.07566506759703445,0.023767989533362406,0.6089385474860335,8.04781607714971,0.02081464302227013,2.3636564700018687,3
"JUMBO BAG PINK POLKADOT, JUMBO SHOPPER VINTAGE RED PAISLEY",JUMBO BAG RED RETROSPOT,0.030527692978630616,0.11535106846925425,0.023767989533362406,0.7785714285714285,6.749581420469888,0.020246587530376014,3.9951887230420757,3
"JUMBO BAG PINK POLKADOT, JUMBO STORAGE BAG SUKI",JUMBO BAG RED RETROSPOT,0.03292629742695159,0.11535106846925425,0.02529437418229394,0.7682119205298014,6.6597729065211135,0.021496290593358613,3.816628247461218,3
"JUMBO SHOPPER VINTAGE RED PAISLEY, JUMBO STORAGE BAG SUKI",JUMBO BAG RED RETROSPOT,0.03161796772786742,0.11535106846925425,0.023767989533362406,0.7517241379310344,6.516837233557134,0.0201208231731265,3.563169307554392,3
"JUMBO  BAG BAROQUE BLACK WHITE, JUMBO BAG PINK POLKADOT",JUMBO BAG RED RETROSPOT,0.028565198430004362,0.11535106846925425,0.020933275185346708,0.732824427480916,6.352992106668206,0.01763824902540944,3.311114572300791,3
"JUMBO BAG PINK POLKADOT, JUMBO BAG WOODLAND ANIMALS",JUMBO BAG RED RETROSPOT,0.028565198430004362,0.11535106846925425,0.020715220235499345,0.7251908396946565,6.2868151055570785,0.017420194075562077,3.219139167514658,3
RED HANGING HEART T-LIGHT HOLDER,WHITE HANGING HEART T-LIGHT HOLDER,0.04099433057130397,0.1218927169646751,0.029001308329699084,0.7074468085106382,5.803848056940585,0.024004397996214802,3.0015303492843826,2
JUMBO BAG PINK POLKADOT,JUMBO BAG RED RETROSPOT,0.07566506759703445,0.11535106846925425,0.04949847361535107,0.654178674351585,5.67119735458671,0.0407704272222348,2.55810982700974,2
JUMBO BAG STRAWBERRY,JUMBO BAG RED RETROSPOT,0.043610989969472304,0.11535106846925425,0.028347143480157,0.65,5.6349716446124765,0.02331656919017644,2.527568375802131,2
JUMBO BAG TOYS,JUMBO BAG RED RETROSPOT,0.030963802878325338,0.11535106846925425,0.02006105538595726,0.647887323943662,5.616656460502144,0.016489347640071064,2.512402965547318,2
JUMBO STORAGE BAG SUKI,JUMBO BAG RED RETROSPOT,0.0651984300043611,0.11535106846925425,0.04143044047099869,0.6354515050167224,5.508848018916237,0.03390973190747775,2.4266975277769998,2
JUMBO BAG SCANDINAVIAN BLUE PAISLEY,JUMBO BAG RED RETROSPOT,0.03881378107283035,0.11535106846925425,0.02442215438290449,0.6292134831460674,5.454769439901447,0.019944943264821793,2.3858713607950413,2
JUMBO BAG SPACEBOY DESIGN,JUMBO BAG RED RETROSPOT,0.037723506323593545,0.11535106846925425,0.02311382468382032,0.6127167630057804,5.311756285717408,0.018762377922987135,2.2842427635047615,2
JUMBO BAG OWLS,JUMBO BAG RED RETROSPOT,0.03881378107283035,0.11535106846925425,0.023767989533362406,0.6123595505617978,5.308659544189801,0.019290778415279708,2.2821378233691707,2
JUMBO  BAG BAROQUE BLACK WHITE,JUMBO BAG RED RETROSPOT,0.0510248582642826,0.11535106846925425,0.0311818578281727,0.611111111111111,5.297836588951901,0.025296085908895444,2.2748115382219174,2
