itemsets,length,count,support
WHITE HANGING HEART T-LIGHT HOLDER,1,559,0.1218927169646751
JUMBO BAG RED RETROSPOT,1,529,0.11535106846925425
REGENCY CAKESTAND 3 TIER,1,484,0.10553859572612298
PARTY BUNTING,1,401,0.08744003488879197
LUNCH BAG RED RETROSPOT,1,371,0.08089838639337113
SET OF 3 CAKE TINS PANTRY DESIGN,1,354,0.07719145224596598
JUMBO BAG PINK POLKADOT,1,347,0.07566506759703445
ASSORTED COLOUR BIRD ORNAMENT,1,342,0.07457479284779764
PACK OF 72 RETROSPOT CAKE CASES,1,325,0.0708678587003925
JUMBO SHOPPER VINTAGE RED PAISLEY,1,310,0.06759703445268207
HEART OF WICKER SMALL,1,309,0.06737897950283471
LUNCH BAG  BLACK SKULL.,1,303,0.06607064980375055
LUNCH BAG SPACEBOY DESIGN,1,302,0.06585259485390318
NATURAL SLATE HEART CHALKBOARD,1,300,0.06541648495420846
JUMBO STORAGE BAG SUKI,1,299,0.0651984300043611
RED RETROSPOT CHARLOTTE BAG,1,293,0.06389010030527693
PAPER CHAIN KIT 50'S CHRISTMAS,1,283,0.061709550806803314
JAM MAKING SET WITH JARS,1,277,0.060401221107719144
WOODEN PICTURE FRAME WHITE FINISH,1,275,0.059965111208024426
RECIPE BOX PANTRY YELLOW DESIGN,1,275,0.059965111208024426
ROSES REGENCY TEACUP AND SAUCER,1,275,0.059965111208024426
JAM MAKING SET PRINTED,1,268,0.05843872655909289
SPOTTY BUNTING,1,268,0.05843872655909289
LUNCH BAG PINK POLKADOT,1,265,0.057784561709550805
ALARM CLOCK BAKELIKE RED,1,264,0.05756650675970344
LUNCH BAG CARS BLUE,1,263,0.05734845180985609
LUNCH BAG SUKI DESIGN,1,261,0.05691234191016136
GREEN REGENCY TEACUP AND SAUCER,1,260,0.056694286960314
SET OF 4 PANTRY JELLY MOULDS,1,259,0.056476232010466636
RABBIT NIGHT LIGHT,1,259,0.056476232010466636
VICTORIAN GLASS HANGING T-LIGHT,1,258,0.05625817706061927
WOODEN FRAME ANTIQUE WHITE,1,255,0.05560401221107719
JUMBO BAG APPLES,1,254,0.05538595726122983
LUNCH BAG APPLE DESIGN,1,251,0.05473179241168775
ALARM CLOCK BAKELIKE GREEN,1,248,0.05407762756214566
SET/20 RED RETROSPOT PAPER NAPKINS,1,247,0.0538595726122983
LUNCH BAG WOODLAND,1,244,0.053205407762756216
VINTAGE SNAP CARDS,1,239,0.05211513301351941
JUMBO BAG WOODLAND ANIMALS,1,235,0.05124291321412996
JUMBO  BAG BAROQUE BLACK WHITE,1,234,0.0510248582642826
SPACEBOY LUNCH BOX,1,230,0.05015263846489315
REX CASH+CARRY JUMBO SHOPPER,1,230,0.05015263846489315
6 RIBBONS RUSTIC CHARM,1,230,0.05015263846489315
PACK OF 60 PINK PAISLEY CAKE CASES,1,227,0.04949847361535107
JUMBO BAG ALPHABET,1,226,0.04928041866550371
RETROSPOT TEA SET CERAMIC 11 PC,1,225,0.049062363715656344
GARDENERS KNEELING PAD KEEP CALM,1,224,0.04884430876580898
HEART OF WICKER LARGE,1,221,0.0481901439162669
WOODLAND CHARLOTTE BAG,1,220,0.04797208896641954
SET OF 3 REGENCY CAKE TINS,1,220,0.04797208896641954
JUMBO BAG PINK VINTAGE PAISLEY,1,219,0.047754034016572175
CHARLOTTE BAG SUKI DESIGN,1,218,0.04753597906672481
ALARM CLOCK BAKELIKE PINK,1,215,0.04688181421718273
PLEASE ONE PERSON METAL SIGN,1,214,0.04666375926733537
CHOCOLATE HOT WATER BOTTLE,1,212,0.04622764936764064
SET OF 6 SPICE TINS PANTRY DESIGN,1,212,0.04622764936764064
SCOTTIE DOG HOT WATER BOTTLE,1,211,0.04600959441779329
DOLLY GIRL LUNCH BOX,1,211,0.04600959441779329
PAPER BUNTING RETROSPOT,1,210,0.045791539467945924
BAKING SET 9 PIECE RETROSPOT,1,208,0.0453554295682512
SET/5 RED RETROSPOT LID GLASS BOWLS,1,207,0.045137374618403836
PAPER CHAIN KIT VINTAGE CHRISTMAS,1,205,0.04470126471870912
RED TOADSTOOL LED NIGHT LIGHT,1,205,0.04470126471870912
RECYCLING BAG RETROSPOT,1,204,0.044483209768861755
JUMBO BAG VINTAGE LEAF,1,203,0.04426515481901439
CHARLOTTE BAG PINK POLKADOT,1,201,0.04382904491931967
JUMBO BAG STRAWBERRY,1,200,0.043610989969472304
DOORMAT RED RETROSPOT,1,199,0.04339293501962495
HOT WATER BOTTLE KEEP CALM,1,197,0.04295682511993022
STRAWBERRY CHARLOTTE BAG,1,193,0.04208460532054078
60 TEATIME FAIRY CAKE CASES,1,193,0.04208460532054078
POPCORN HOLDER,1,193,0.04208460532054078
CLOTHES PEGS RETROSPOT PACK 24,1,192,0.041866550370693416
PINK REGENCY TEACUP AND SAUCER,1,192,0.041866550370693416
LUNCH BAG ALPHABET DESIGN,1,191,0.04164849542084605
RED HANGING HEART T-LIGHT HOLDER,1,188,0.04099433057130397
HOME BUILDING BLOCK WORD,1,187,0.04077627562145661
HANGING HEART JAR T-LIGHT HOLDER,1,184,0.04012211077191452
GARDENERS KNEELING PAD CUP OF TEA,1,184,0.04012211077191452
ROUND SNACK BOXES SET OF4 WOODLAND,1,183,0.03990405582206716
SET OF 3 BUTTERFLY COOKIE CUTTERS,1,183,0.03990405582206716
JUMBO BAG VINTAGE DOILY,1,181,0.03946794592237244
COOK WITH WINE METAL SIGN,1,180,0.03924989097252508
STRAWBERRY CERAMIC TRINKET BOX,1,179,0.039031836022677714
PLASTERS IN TIN SPACEBOY,1,179,0.039031836022677714
JUMBO BAG OWLS,1,178,0.03881378107283035
SET OF 3 HEART COOKIE CUTTERS,1,178,0.03881378107283035
JUMBO BAG SCANDINAVIAN BLUE PAISLEY,1,178,0.03881378107283035
LUNCH BOX I LOVE LONDON,1,176,0.03837767117313563
GUMBALL COAT RACK,1,176,0.03837767117313563
